location,hospitality,facilities,cleanliness,value for Money,food,price,overallrating
4.7,4.2,4.2,3.7,4.2,2.7,7882,4.3
4.6,4.2,4.1,4.1,4.1,2.2,9818,4.3
4.7,4.7,4.7,3.9,4.7,2.4,14875,4.7
4.9,4.9,4.9,4.5,4.9,3.3,14923,4.9
4.8,4.8,4.7,4.6,4.8,1.7,13205,4.8
4.6,4.6,4.4,4.2,4.5,2.3,9496,4.5
4.6,4.2,4.1,4.4,4.1,2.5,10726,4.3
4.6,4.5,4.6,4.5,4.5,1.2,5203,4.6
4.9,4.8,4.9,4.7,4.8,1,16065,4.9
4.8,4.8,4.8,4.3,4.8,1.9,14898,4.8
3.5,4,4,3.8,4,2.9,13928,3.9
4.6,4.6,4.7,4.2,4.6,3.2,13927,4.6
5,4.8,4.8,4,4.8,2.9,13685,4.8
4.7,4.7,4.7,3.7,4.6,2.2,15701,4.7
4.7,4.7,4.7,4.6,4.7,2,21123,4.7
4.1,4.3,4.2,4.8,4.3,1,21123,4.4
5,4.9,4.8,4.5,4.8,2,21000,4.8
4.5,3.3,3.5,3.6,3.4,3.1,11106,3.7
4.7,4.5,4.5,4.3,4.5,2.1,8924,4.6
4.7,4.1,4.1,3.9,4.1,2.7,15494,4.2
4.9,4.7,4.7,4.5,4.7,3,15494,4.7
4.7,4.7,4.7,4.4,4.7,2.4,13614,4.7
4.9,4.4,4.3,4.3,4.4,2.1,11900,4.5
4.1,4.1,3.8,3.8,4.1,1.9,13614,4
4,3.5,3.4,3.5,3.6,2.1,5514,4
4.1,4.4,4.3,4.1,4.2,3.1,9043,4.3
4.7,4.7,4.4,4.6,4.7,3.8,13140,4.5
4.1,4,4,3.5,4,1.3,13140,4
4.4,4,4.2,4,4,1.3,8902,4.3
4.6,4.3,4.2,4.4,4.2,3.1,23800,4.3
4.6,4.1,4.3,3.4,4,2.4,9913,4.3
4.5,3.8,4.1,4.3,3.7,3.1,14875,4.1
4,3.9,3.9,3.8,3.9,1.5,5484,4
4.7,4.7,4.4,4.6,4.7,3.8,13140,4.5
3.9,4,3.8,3.8,4,1.5,9209,4
4.7,4.4,4.6,5,4.4,2.1,8092,4.6
5,4.5,4.5,4.3,4.5,2.1,15090,4.6
4.2,4,4.1,4.4,4,2,8218,4.2
3.9,4.3,4.4,4.5,4.4,4.1,8962,4.3
4.4,4.3,4.4,4.8,4.3,2,10202,4.4
4.9,4.9,4.9,4.4,4.9,2.3,13436,4.9
4.6,4.7,4.7,4.4,4.7,1.8,8266,4.7
4.3,4.5,4.6,4.7,4.5,2.5,8898,4.5
2.8,2.3,4.3,4.5,2.3,0.7,24386,4.4
4.8,4.9,4.8,3,4.9,2.4,8474,4.8
4.6,4.4,4.6,4.1,4.4,2.2,8925,4.7
4.8,3.8,3.8,3.7,3.7,2.4,11250,4
4.7,4.6,4.8,4.6,4.5,2.1,22241,4.7
3.6,3.9,4.1,4.3,3.9,2,5524,4.1
4.1,4.3,4.3,3.9,4.3,2.3,9778,4.3
4.4,4.7,4.4,4.6,4.6,2.2,6629,4.4
4.5,4.2,4.3,4.5,4.2,2.2,9380,4.2
4.7,4.5,4.3,3.4,4.4,3.3,10196,4.4
4.9,4.7,4.3,4.2,4.6,2.9,10615,4.5
3.9,4.6,4.7,4.1,4.6,2.9,12854,4.5
4.8,5,5,4.4,4.9,4.2,21490,4.9
5,5,5,5,5,4.1,24395,5
4.8,4.6,4.7,4.3,4.6,2.2,7868,4.7
4.2,4,4.3,4,4,2.2,4998,4.3
4.8,4.4,4.5,4.6,4.4,1.6,29296,4.6
4.8,4.9,5,4.5,4.8,1.8,13685,4.8
4.5,4.7,4.6,4.1,4.7,2.3,8092,4.6
3.9,4,4.2,4.1,4,2.6,6207,4.2
4.6,4.5,4.6,4.8,4.5,2.3,11400,4.6
4.6,4.3,4.2,4.1,4.2,2.7,6582,4.3
4.6,4.2,3.7,3.8,4.2,1.1,4587,4
4.3,3.7,4,3.9,3.7,2,6920,4.1
4.4,4.1,4.2,3.9,4.1,2.8,9106,4.2
2,2,5,5,2,2.5,6545,4.7
4.1,4.6,4.8,3.4,4.6,3.1,9026,4.7
4.5,4.6,4.5,4.7,4.6,1.7,6733,4.6
4.1,4.6,4.2,4.1,4,2.1,16219,4.5
4.7,4.4,4.6,4.6,4.3,2.7,25100,4.6
4.8,4.4,4.4,4.2,4.4,3.1,10560,4.3
4.5,4.5,4.5,4.5,4.5,4.5,16313,4.6
4.2,4.6,4.8,3.8,4.6,2.2,6442,4.6
1.4,2,4.6,5,2,2,10500,4.5
3.8,3.9,4.1,3.9,3.9,3.3,20230,3.9
4.6,4,4.2,4.6,4,4.2,12445,4.3
4.6,4.8,4.8,3.6,4.8,2.9,8854,4.7
4.8,4.8,5,5,4.8,1,8830,4.8
4.8,4.9,5,4.5,4.8,1.8,13481,4.8
4.2,3.9,3.9,4.1,3.9,1.9,9159,4
4.3,3.5,3.5,3.8,3.5,1.3,3000,3.8
4.4,4.2,4.2,4,4.2,2.3,7416,4.3
4.4,4.3,4.2,4.5,4.3,1.5,7440,4.4
4.5,3.8,3.6,3.6,3.8,2.1,6187,3.8
4.6,4,4.1,3.5,4,2.2,7937,4.2
3.9,3.9,3.8,3.6,3.9,1.8,6820,4
4.2,3.9,4.2,3,3.9,1.7,3900,4.1
4.4,3.6,3.2,3,3.6,1.8,5347,3.6
4.2,3.7,3.8,3.9,3.7,1.4,3720,3.9
4.2,2.5,3.7,3.8,3.5,1.1,2975,3.9
3.9,4.1,4,4.1,3.9,1,3695,3.8
4.7,3.7,3.4,3.9,3.7,1.9,10000,3.8
3.7,3.8,3.8,3.7,3.7,2.5,5995,3.8
3.4,3.4,4,3.2,3.2,2.6,10092,3.4
3.2,4.1,4,4.6,4.1,0.6,3553,4
4.2,3.5,3.8,4.1,3.5,1,5580,4
4.1,3.7,3.7,3.3,3.7,2.5,6138,3.9
4.2,4,3.7,3.9,3.9,2.8,6820,4
3.6,3.8,3.9,4,3.8,1.4,3917,3.9
3.8,3.5,3.4,3.9,3.5,0.2,12400,3.6
4.9,4.7,4.6,4.2,4.7,3.4,15246,4.6
4.4,4.8,4.7,4.4,4.8,3.2,10285,4.7
4.2,4.4,4.2,3.6,4.4,3.4,11435,4.2
4.3,4.5,4.4,4.3,4.5,3.2,9909,4.4
4.2,4.5,4.5,42,44,27,8470,4.5
4.5,4.6,4.4,4,4.4,2.8,11840,4.4
4.5,4.5,4.5,3.9,4.5,2.4,8621,4.5
4.7,5,4.6,4.7,4.7,3.8,13552,4.6
4.5,4.3,4.4,4.4,4.3,2.6,10687,4.4
4.5,4.3,4.2,4.3,4.3,2.8,10614,4.3
4.1,3.7,3.9,3.7,3.7,0.7,6324,3.8
4.5,3.9,3.9,3.3,3.9,2.4,5000,4
4.7,3.9,3.7,3,3.9,2.6,4300,4
3.9,3.9,3.7,1.7,3.9,3.4,3800,3.7
4,3.2,3,2.5,3.2,2.6,6918,3.2
4.2,4,3.2,3.8,4,1.5,10000,3.8
4.5,4.1,3.6,4,4.1,1.4,5965,4
3.8,3.7,3.5,3.1,3.7,2.8,5712,3.7
4.3,3.6,3.6,3.9,3.4,1.8,11000,3.8
4.2,3.8,3.7,3.8,3.8,0.3,4500,3.9
4.5,4.1,4,3.8,4.1,2.2,6000,4.1
4.5,3.8,3.8,3.5,3.8,2.6,4400,4
4.3,4.2,4.2,4.7,4.2,1.3,9196,4.3
4.7,4.1,4.1,3.4,4.1,2.7,6167,4.2
4.9,4.9,4.8,4.9,4.9,2.7,6998,4.9
4.6,4.4,4.4,3.9,4.4,2.7,15000,4.4
4.7,4.5,4.2,2.8,4.5,2.7,5990,4.4
4.8,4.8,4.8,4.2,4.7,4,11495,4.8
4.5,4.6,4.7,4.4,4.6,3,7260,4.6
5,4,4,4.5,4,2,10548,4.1
4.8,4.2,3.9,3.6,4.2,2.1,5608,4.2
4.6,4.6,4.4,4.1,4.6,2.3,18000,4.6
4.7,4.6,4.6,4.3,4.6,3.2,7200,4.6
4.3,4.7,4.8,4.5,4.7,1.8,7432,4.6
4.8,4.1,4.2,4.4,4.1,1.6,11467,4.3
3.9,4.8,5,5,4,4.2,10000,4.7
4.8,4.8,4.7,4.4,4.5,2.3,7200,4.7
3.6,3.5,3.9,3.2,3.6,0.7,4000,3.3
4,3.9,3.8,4,4.1,1.1,3600,3.8
4.5,4,3.8,4.4,4,2.1,4382,4.1
4.6,4.3,4.2,3.6,4.3,3,4100,4.3
4.5,4.4,4.2,4.1,4.3,1.6,5904,4.3
4.3,3.9,4,4.1,3.9,0.4,4899,4.1
4.1,4.5,4.5,3.3,4.5,3.2,7325,4.5
1.8,1.9,4.5,4,1.9,1.7,4612,4.4
4.3,4.1,3.8,4.5,4,2.9,5736,4.2
4,3.7,3,3.7,3.7,0.3,5444,3.6
4.1,3.7,3.8,3.7,3.7,2.7,9577,3.8
3.8,4.3,4.4,4,4.3,2,7586,4.2
4.8,4.8,4.6,4.2,4.4,3.2,10413,4.6
4.8,3.9,4.1,4.2,3.9,2,8084,4.2
4.4,4.7,4.8,4.3,4.7,3,11246,4.6
4.7,4.7,4.8,4.7,4.7,2,11654,4.7
4.4,4.4,4.5,4.1,4.4,2.9,11424,4.5
4.4,4.5,4.6,4.3,4.5,2.7,10115,4.5
4.5,4.9,4.7,4.2,4.9,3,7497,4.7
4.4,4.2,4.4,3.5,4.2,2.6,9059,4.4
4.3,3.8,3.9,4,3.8,2.4,9519,4
4.4,4.1,3.9,3.6,3.9,3.1,8152,3.9
3.2,2.4,4,3.8,2.7,2.2,7000,4.1
4.2,3.9,3.9,4.2,3.9,0.7,7735,3.9
4.3,4.3,4.2,4.3,4.2,0.9,5950,4.2
4.4,4.5,4.4,4.2,4.5,1.9,8925,4.4
4.6,4.1,3.9,3.4,4.4,2.1,7319,4
4.5,4,3.9,3.9,3.9,2,6645,4
3.6,3.4,3.1,3.6,3.4,1,4000,3.5
3.6,4,3,4.5,4,2.5,7000,3.7
3.9,3.8,3.6,3.7,3.7,1.4,3456,3.8
4.4,3.2,4,4.6,2,1.1,6000,3.8
4.4,4.7,4.6,4.7,4.4,2.9,8550,4.6
4.5,4.7,4.7,4.9,4.7,3.4,4000,4.7
4.7,4.6,4.6,4.7,4.6,2.1,5700,4.7
4.3,3.4,3.6,3.5,3.4,0.8,3500,3.8
4.2,4.6,4.8,4.6,4.6,3.6,9690,4.6
4.8,4.8,4.5,4.5,4.6,2.5,5518,4.6
3.9,4.3,4.7,4.6,4.3,1.1,5814,4.7
4.7,4.5,4.5,4.4,4.5,1.9,5139,4.4
4.3,3.9,4.1,4.3,3.9,0.9,4000,4.2
4.2,4.3,4.3,4.2,4.3,1.8,8060,4.3
4.6,4.1,3.9,3.4,4.4,2.1,4000,3.7
4.6,4.4,4.1,4.5,4.3,2.6,6039,4.2
3.5,3.4,4.1,3.9,2.5,2.5,11420,4.3
4.5,4.4,4.2,4.1,4.2,2.3,7655,4.3
4.8,4.7,4.7,4.6,4.7,2.9,9500,4.7
3.9,4,3.8,4.1,4,2.8,4000,3.9
4.8,4.8,4.6,4.5,4.7,2,15000,4.7
3.9,4,3.9,4.1,3.6,1.6,4000,3.9
4.6,4.3,4.3,4.2,4.2,3.2,5499,4.3
4.5,4.3,4.3,3.9,4.3,2.8,6535,4.3
4.5,4.1,3.8,4,4,1.5,5000,4
4.7,4.6,4.6,4.1,4.6,2.8,7194,4.6
3.8,3.4,3.8,4.2,3.4,1,4900,3.7
3.9,3.8,3.7,3.9,3.9,3.3,6520,3.8
4.6,4.2,4.2,3.6,4.1,2.4,8769,4.2
4.8,4.4,4.3,4.2,4.4,2.7,5068,4.5
4.8,4.9,4.8,3.8,4.9,1.6,7882,4.9
4.6,3.7,3.7,3.1,3.7,2.1,6210,3.8
4.8,4.7,4.7,4.4,4.7,2.4,10079,4.7
4.6,4.6,4.5,4.1,4.5,3.1,7528,4.5
4.5,3.9,4,3.5,3.8,2.1,6595,3.9
4.8,4.8,4.4,4.7,4.7,3.2,6000,4.7
4.5,4.4,4.5,4.7,4.4,2.8,5690,4.5
4.5,4.5,4.5,3.9,4.4,2.4,4000,4.5
4.8,4.5,4.3,4.3,4.3,3.1,5450,4.4
4.4,3.8,3.8,4,3.8,1.6,10710,4.1
4.5,4.5,4.3,4.4,4.5,1.2,11586,4.4
4,4,3.5,4,4,1.3,15139,3.8
4.6,4.6,4.6,4.2,4.6,2.3,8999,4.6
4.2,3.8,4,3.9,3.8,2.2,4500,4
4.5,4.2,4.4,4.5,4.4,4.4,3500,4.3
4.9,3.5,4.1,4.1,4.1,3.6,3800,4.1
4.8,3.7,4.1,4,4.1,4,2250,4.1
4.1,3.8,4.2,4,4.1,4.2,3750,4
4.8,3.8,4.2,3.9,4,3.7,4158,4
4.4,3.9,4.1,3.9,4.1,4,1500,4
4.2,3.8,4.2,4,4.1,4.1,2155,4
4.5,4.2,4.3,4.3,4.3,4.4,3100,4.3
3.4,3.6,3.8,3.9,3.8,3.7,1944,3.7
4.5,4,4.3,4.5,4.3,3.9,1800,4.3
4.8,3.2,3.3,3.8,3.3,4,1800,3.8
4.3,4.3,4.1,4.3,4.1,4.3,1900,4.3
4.7,2.7,3.7,3.7,3.7,1,1800,3.6
4.2,4.2,4.3,4.5,4.3,4.1,4200,4.3
4,4.1,3.9,3.8,4.1,4.1,3000,3.8
4.4,4,4.4,4.3,4.4,4.3,3000,4.2
4.3,3.7,4.1,4,4,4,2200,3.9
4.1,3.9,4.1,3.9,4,4.1,2400,3.9
4.1,3.7,4.1,4,4.1,3.8,2000,3.8
3.7,3.6,3.7,3.8,3.7,3.6,2000,3.7
3.5,3,3.1,3.2,3,2.7,2300,3.2
3.8,3.2,3.8,3.7,3,2.7,3000,3.2
3.6,4.1,4,4.4,4,3,1200,4.1
1.5,1.8,1.8,1.9,1.8,1.8,1000,1.7
4.4,3.5,3.8,4,3.8,3.7,3200,3.8
4.7,3.8,4.2,4.3,4.2,3.9,2300,4.1
4.5,3.7,4.1,3.8,3.9,3.8,2000,3.9
4,4,4,4,4,4,2000,4
4.4,3.8,4.1,3.9,4.1,4,3000,4
4.5,3.5,3.9,3.7,3.7,3.5,2000,3.7
2.7,3.3,3.6,3.5,3.6,3.3,1300,3.3
4,3.6,3.7,3.8,3.9,3.6,2300,3.8
2.9,3.2,3.5,3.5,3.5,3.1,1250,3.3
4,3.2,3.3,4,3.3,3.8,1100,3.6
3.3,3.7,4.1,4.3,4.1,3.8,2300,3.9
3.9,3.6,4.1,3.8,4.1,4,3024,3.8
4.4,4,4.3,4.5,4.3,4.1,1700,4.3
4.4,4.2,4.3,4.3,4.3,4.2,2600,4.3
4,4.2,4.4,4.1,4.3,4.1,1300,4.1
4.7,4,4.3,4.1,4.3,4.8,2450,4.2
4.8,3.9,4.1,4.2,4.1,4,1700,4.2
4.1,4.1,4.2,4.5,4.2,4.2,1975,4.2
4.2,3.6,4,4,3.9,3.9,2500,3.9
4.3,3.6,3.7,3.9,3.7,3.4,1400,3.9
3.7,3.9,4,3.9,4,4.7,1550,3.9
4.3,4.1,4.3,4.1,4.3,4.1,1215,4.2
4.4,4.4,4.4,4.5,4.4,4,2300,4.3
4.3,4,4.1,4.2,4.1,4,1600,4.1
4.3,3.5,3.8,3.8,3.8,3.4,1100,3.9
4.3,4.5,4.8,4.6,4.8,4.6,2750,4.5
3,1.5,1.4,1.5,1.5,3,1000,1.8
3.5,4.5,4,3.6,4,4.5,900,4.3
3.9,3.8,3.7,3.6,3.7,3.5,1100,3.7
5,4,4.5,4.5,4,4,1000,4.5
4.5,3.9,3.9,4.1,3.9,3.1,1600,4
4,4.1,4.3,3.9,3.6,3.9,1500,4.1
3.6,3.9,3.8,4.1,3.8,3.7,1000,4
4.8,4,4.2,4.2,4.2,4,1900,4.2
3.7,3.6,3.7,3.8,3.7,3.2,1250,3.7
3.6,3.8,3.9,3.9,4,3.4,1350,3.8
3.9,3.5,3.5,3.5,3.5,4,900,3.6
3.7,3.5,3.9,3.6,3.9,3.6,1350,3.7
4.5,4.3,4.2,4.2,4.3,4,1000,4.2
3.5,3.5,3.6,3.5,3.6,3,2215,3.6
4.1,4.1,4.3,4.1,4.2,4.6,1200,4
3.8,3.7,3.8,3.9,4,3.2,1500,3.8
3.8,3.6,3.7,3.8,3.8,3.8,900,3.8
4.1,3.8,3.9,4,3.9,4.1,800,4
4,3,3,2.9,3,4,1800,3.4
3.8,3.6,3.6,3.8,3.6,4.1,700,3.8
4,3.1,3.3,2.9,3.4,3.4,700,3.3
4,4,3,3,3,4,1450,3.7
4.2,3.8,4.1,4,4.1,4.5,2000,4.1
4,3.9,3.8,3.6,3.6,3,1000,4
4.3,3.3,4,3.8,4.2,3.8,1050,3.8
4,3.5,3.7,3.5,3.7,3.6,1000,3.7
3.6,3.7,3.8,3.9,3.8,3.9,700,3.8
4.2,4.2,4.4,4.5,4.2,2.8,1900,4.3
4.7,4.1,4,3.8,4,4,2400,4.1
4,3.6,3.6,3.8,3.5,3.9,1200,3.8
3.6,3.5,3.6,4,3.6,3.9,1200,4
3.2,2.9,3.6,3.2,2.6,1,1000,3
3.9,3.6,3.6,3.4,3.4,4,1800,3.7
4,3.6,3.6,3.9,3.7,3.6,1500,4
3.9,3.7,4.2,3.6,3.9,4,1600,3.9
3.6,3.5,3.5,3.6,3.6,3,1080,4
3.6,3.6,3.5,3.2,3.9,3,1000,3.4
4.2,3.4,3.9,3.5,3.9,3.5,2300,3.7
3.9,3.6,3.7,3.6,3.4,3,1150,4
4,3.5,3.7,3,4,3,2050,3.9
4,2,3,3,3.1,3.6,1650,3.3
4.3,3,3.4,3.5,3.4,4,2000,3.6
2.7,3.8,4,3.7,4,3.5,750,3.8
3.6,3.9,4,3.9,4,3.8,1150,3.9
4.4,3.5,3.7,3.5,3.7,4,1300,3.9
4.1,3.4,3.6,3.6,3.6,4.4,700,3.7
3.5,3.5,3.8,3.4,3.7,3.3,700,3.5
4,3.6,4,3.6,3.6,3.8,1300,3.9
3.1,2.8,3,3.2,3,2.8,750,3.1
4,3.7,3.8,3.7,3.8,3.6,800,3.8
3.5,3.6,3.8,3.8,3.8,3.9,700,3.7
2.9,3.5,3.6,3.9,3.6,3.9,750,3.7
3.5,3.1,3.2,3.2,3.1,2.4,1200,3.2
4,3.5,3.6,3.8,3.7,3.6,800,3.9
3.8,3.6,4,3.9,3.9,3.5,1700,3.8
3.5,3.4,4,3.6,3.5,3.7,1000,3.5
3.5,2.4,2.5,2.4,2.5,4,675,2.6
2.9,2.3,2.6,2.4,2.9,2,750,2.6
4.7,3.8,4.1,3.8,3.9,4.4,4000,4
3.7,3.4,4,4,4.1,3,1650,3.7
3.8,3,3.1,2.9,3.1,3.4,1000,3.2
4.4,3.9,4,4,4.1,4,1800,4.1
3.6,3.9,3.9,3.8,3.5,3,1500,3.9
2.9,2.6,2.5,2.9,2.9,2,500,3
3.8,3.4,3.4,3.5,3.5,3.1,1800,3.6
3.4,2.5,2.8,2.5,2.5,2.2,900,2.8
3.1,2.3,2.6,2.5,2.6,3,800,2.6
3.5,3,3,3.5,3,2,1500,3.2
3.9,3.4,3.6,3.5,3.6,3.7,1250,3.6
3,2.9,2.6,2.6,3,2,950,2.8
3.6,2.8,2.9,2.8,3,2.4,1100,3
3.2,2.2,2.4,2.1,2.4,1,1000,2.4
4.1,4.2,4,3.9,4,3.9,2000,4
3.1,2.2,2.5,2.2,2.5,3.3,600,2.6
3.4,2.9,3.1,2.9,3.1,3.1,1100,3.1
4.5,4.1,4.4,4.1,4.4,4.3,1900,4.3
4,4,4,3.9,3.9,4,1800,4.1
4,3.9,3.9,4,3.9,4.1,2700,4
4.5,4.1,4.2,4.4,4.2,4.4,2000,4.3
4.5,4.2,4.3,4.4,4.3,4.3,1850,4.3
4.6,4.3,4.2,4.5,4.1,4.2,6000,4.3
4.2,4.3,4.2,3.9,3.9,4,3000,4.2
4,3.4,3.8,3.5,3.8,3.9,1500,3.6
3.7,3.8,4,4,4.1,4,1000,3.9
4.1,4.1,74.3,4.3,4.3,3.8,1250,4.2
4.3,4,4.5,4.3,4.5,4,1350,4.4
4.2,3.8,3.9,4.2,3.9,4.2,1900,4
4.2,4.1,3.9,4,3.9,4,1600,3.9
4.4,3.3,3.6,3.6,3.6,3.3,1200,3.7
4.3,3.8,4.1,4.1,4.1,4.2,2200,4.1
4,4,4.1,4.3,4.1,4.1,1500,4.2
4,4.1,4.1,4.3,4,3.9,1500,3.9
4.2,3.8,4.1,3.9,4.1,3.6,1800,4
3.8,3.3,3.5,3.5,3.6,2.9,1700,3.5
4.2,3.7,4.1,3.8,4.1,3.8,1600,3.9
4.4,3.6,3.9,3.8,3.8,3.5,1600,3.8
4,3.1,3.4,3.4,3.4,2.6,1300,3.5
3.7,4,4.2,4.3,4.2,3.2,1000,4.2
4.5,3.7,3.8,3.7,3.8,4,1200,3.9
3.7,3.2,3.4,3.3,3.4,3.6,2000,3.4
3,3.2,3.3,3.3,3.3,3.1,1000,3.2
4.2,2.8,3.3,3.5,3.3,3.3,1700,3.4
4.4,3.5,3.6,4.1,3.6,3.3,2000,3.8
4.2,3.7,4.2,4.2,4.3,4.2,2500,4
4.3,3.5,3.7,3.8,3.7,3.4,1200,3.8
4.6,4,4.3,4.4,4.3,3.7,800,4.3
3.6,3.9,4.1,4.3,4.1,3.8,900,4
3,4,3,3,3,3.1,1200,3.4
4.4,3.5,3.6,3.8,3.6,3.6,2100,3.8
4.2,3.2,4,3.5,4,4,1700,3.7
4.2,3.7,4.1,4,4.1,3.2,1200,4
4.1,3.6,3.1,3.6,3.1,4,700,3.8
3.4,3.5,4.2,3.5,3.8,3.8,1700,3.5
4.1,3.9,4.1,4.1,4.1,4.5,900,4.1
4.2,3.2,3.4,3.4,3.3,3.3,1800,3.5
